103.83.87.133:443#TR土耳其|103.83.87.133
103.83.87.161:443#TR土耳其|103.83.87.161
103.83.87.219:8443#TR土耳其|103.83.87.219
104.239.87.51:443#TR土耳其|104.239.87.51
104.239.87.89:8443#TR土耳其|104.239.87.89
107.181.155.40:8443#TR土耳其|107.181.155.40
130.94.1.95:443#TR土耳其|130.94.1.95
144.225.65.56:2096#TR土耳其|144.225.65.56
153.52.92.18:2083#TR土耳其|153.52.92.18
155.103.71.111:443#TR土耳其|155.103.71.111
155.103.71.142:443#TR土耳其|155.103.71.142
155.103.71.142:8443#TR土耳其|155.103.71.142
155.103.71.159:443#TR土耳其|155.103.71.159
155.103.71.80:443#TR土耳其|155.103.71.80
158.94.216.146:443#TR土耳其|158.94.216.146
167.104.219.134:443#TR土耳其|167.104.219.134
167.104.219.197:2083#TR土耳其|167.104.219.197
176.223.66.73:2053#TR土耳其|176.223.66.73
176.223.66.73:8443#TR土耳其|176.223.66.73
185.234.66.91:443#TR土耳其|185.234.66.91
185.235.243.172:443#TR土耳其|185.235.243.172
188.132.174.98:443#TR土耳其|188.132.174.98
188.132.184.84:8443#TR土耳其|188.132.184.84
188.132.192.145:2087#TR土耳其|188.132.192.145
188.132.192.190:2053#TR土耳其|188.132.192.190
188.132.192.194:2053#TR土耳其|188.132.192.194
193.46.56.147:443#TR土耳其|193.46.56.147
193.57.136.201:443#TR土耳其|193.57.136.201
194.87.39.224:8443#TR土耳其|194.87.39.224
195.16.74.73:443#TR土耳其|195.16.74.73
203.202.232.110:443#TR土耳其|203.202.232.110
203.202.232.253:2053#TR土耳其|203.202.232.253
212.102.107.40:443#TR土耳其|212.102.107.40
213.238.182.13:443#TR土耳其|213.238.182.13
217.11.164.172:2053#TR土耳其|217.11.164.172
31.40.204.131:443#TR土耳其|31.40.204.131
31.40.204.200:443#TR土耳其|31.40.204.200
31.40.204.93:443#TR土耳其|31.40.204.93
37.221.79.194:443#TR土耳其|37.221.79.194
37.221.79.54:8443#TR土耳其|37.221.79.54
37.221.79.75:8443#TR土耳其|37.221.79.75
38.180.113.155:8443#TR土耳其|38.180.113.155
38.180.113.215:443#TR土耳其|38.180.113.215
45.12.143.25:443#TR土耳其|45.12.143.25
45.136.5.132:443#TR土耳其|45.136.5.132
45.141.148.137:443#TR土耳其|45.141.148.137
45.89.52.247:443#TR土耳其|45.89.52.247
45.89.52.85:443#TR土耳其|45.89.52.85
46.148.238.89:443#TR土耳其|46.148.238.89
62.133.63.127:443#TR土耳其|62.133.63.127
77.83.245.48:443#TR土耳其|77.83.245.48
77.92.145.164:443#TR土耳其|77.92.145.164
83.217.9.70:443#TR土耳其|83.217.9.70
84.32.230.201:443#TR土耳其|84.32.230.201
91.228.227.214:443#TR土耳其|91.228.227.214
93.113.230.133:8443#TR土耳其|93.113.230.133
94.131.108.136:443#TR土耳其|94.131.108.136
94.131.123.74:443#TR土耳其|94.131.123.74
