114.32.9.249:443#TW台湾|114.32.9.249
140.235.38.78:443#TW台湾|140.235.38.78
140.235.39.19:443#TW台湾|140.235.39.19
141.11.87.48:443#TW台湾|141.11.87.48
141.11.87.48:8443#TW台湾|141.11.87.48
142.249.60.51:443#TW台湾|142.249.60.51
151.242.188.249:443#TW台湾|151.242.188.249
151.242.189.137:443#TW台湾|151.242.189.137
151.242.189.162:443#TW台湾|151.242.189.162
151.242.189.48:8443#TW台湾|151.242.189.48
154.40.60.193:443#TW台湾|154.40.60.193
188.253.6.249:443#TW台湾|188.253.6.249
207.56.137.174:443#TW台湾|207.56.137.174
23.146.248.149:443#TW台湾|23.146.248.149
43.213.230.249:443#TW台湾|43.213.230.249
45.207.159.187:443#TW台湾|45.207.159.187
83.147.12.20:443#TW台湾|83.147.12.20
83.147.13.193:443#TW台湾|83.147.13.193
83.147.13.49:443#TW台湾|83.147.13.49
85.237.207.126:443#TW台湾|85.237.207.126
