144.31.217.95:443#NO挪威,SERVHOST GROUP LTD
185.125.171.128:8443#NO挪威,Gigahost AS
193.200.238.239:8443#NO挪威,Gigahost AS
194.32.107.150:443#NO挪威,Gigahost AS
194.5.98.105:2053#NO挪威,WebHorizon Norway
194.5.98.105:8443#NO挪威,WebHorizon Norway
194.5.98.17:443#NO挪威,WebHorizon IT Broadband Limited Norway
194.68.32.99:443#NO挪威,EDIS IPv6 Infrastructure in Norway
195.54.170.148:8443#NO挪威,IROKO Networks Corporation
195.54.170.43:443#NO挪威,IROKO Networks Corporation
195.54.170.66:8443#NO挪威,IROKO Networks Corporation
202.50.55.76:443#NO挪威,H4FNET
46.29.238.144:443#NO挪威,GLOBAL CONNECTIVITY SOLUTIONS LLP
46.29.238.61:2083#NO挪威,GLOBAL INTERNET SOLUTIONS LLC
81.29.149.122:8443#NO挪威,Baxet Group Inc
81.29.149.219:8443#NO挪威,Baxet Group Inc
81.29.149.219:2053#NO挪威,Baxet Group Inc
84.208.211.208:8443#NO挪威,Telia Norge AS
89.185.81.54:443#NO挪威,GLOBAL CONNECTIVITY SOLUTIONS LLP
